name,jurusan
Universitas Sriwijaya (UNSRI),"Ilmu komunikasi, Kesekretariatan, Sosiologi, Ekonomi pembangunan, Sejarah, Pendidikan jasmani & olahraga, Hubungan internasional, Teknik sipil, Teknik mesin, Kedokteran, Biologi, Agribisnis, Teknologi pertanian, Pendidikan biologi, Kesehatan Masyarakat, Arsitektur, Ilmu kelautan, Sistem informasi, Agroteknologi, Peternakan, Farmasi, Psikologi, Gizi, Hukum, Manajemen, Akuntansi, Pendidikan bahasa, BK (Bimbingan Konseling), PGSD (Pendidikan Guru Sekolah Dasar), Manajemen Informatika, Perencanaan wilayah kota, DKV (Desain Komunikasi Visual), Pendidikan Sendratasik, Geografi, Teknik industri, Sastra, Ilmu komputer, Ilmu politik"
Universitas Sultan Ageng Tirtayasa,"Seni pertunjukan, Hukum, Ekonomi pembangunan, Sejarah, Pendidikan Sendratasik, Ilmu olahraga, PGSD (Pendidikan Guru Sekolah Dasar), Pendidikan bahasa, Pendidikan biologi, BK (Bimbingan Konseling), Teknik mesin, Teknik industri, Teknik sipil, Statistika, Agribisnis, Agroteknologi, Akuntansi, Manajemen, Ekonomi syariah, Administrasi publik, Ilmu komunikasi, Kedokteran, Gizi"
Universitas Andalas (UNAND),"Administrasi perkantoran, Hukum, Kedokteran, Biologi, Manajemen, Akuntansi, Peternakan, Farmasi, Teknologi pertanian, Kesehatan Masyarakat, Sejarah, Sastra, Ilmu komunikasi, Sosiologi, Antropologi, Ilmu politik, Hubungan internasional, Psikologi, Gizi, Agribisnis, Agroteknologi, Teknik lingkungan, Teknik mesin, Teknik sipil, Teknik industri, Ilmu komputer, Sistem informasi"
Universitas Negeri Makassar (UNM),"Sosiologi, Pendidikan bahasa, Administrasi publik, Teknik mesin, Administrasi perkantoran, Pendidikan biologi, Geografi, Pendidikan jasmani & olahraga, Akuntansi, BK (Bimbingan Konseling), PGSD (Pendidikan Guru Sekolah Dasar), Manajemen pendidikan, Manajemen, Sastra, Biologi, Sejarah, Pendidikan Kependudukan dan Lingkungan Hidup, Tari, Kepelatihan olahraga, Ilmu olahraga, Statistika, Teknologi pertanian, Ekonomi pembangunan, Psikologi, Pendidikan Sendratasik, DKV (Desain Komunikasi Visual), Tata busana, Antropologi, Gizi, Arsitektur, Bisnis digital, Fisioterapi, Tata boga, Film dan Animasi, Kedokteran, Aktuaria"
Universitas Terbuka (UT),"Manajemen, Ekonomi pembangunan, Ekonomi syariah, Akuntansi, Pariwisata, Pendidikan bahasa, Sastra, Pendidikan biologi, PGSD (Pendidikan Guru Sekolah Dasar), PAI (Pendidikan Agama Islam), Statistika, Biologi, Agribisnis, Perencanaan wilayah kota, Sistem informasi, Sains data, Kearsipan, Administrasi publik, Hukum, Ilmu komunikasi, Ilmu perpustakaan, Sosiologi"
Universitas Muhammadiyah Jakarta (UMJ),"Ilmu komunikasi, Hukum, Ilmu politik, Pendidikan jasmani & olahraga, PGSD (Pendidikan Guru Sekolah Dasar), Akuntansi, Manajemen, PAI (Pendidikan Agama Islam), Teknik sipil, Arsitektur, Teknik mesin, Pendidikan bahasa, Agroteknologi, Administrasi publik, Agribisnis, Kesehatan Masyarakat, Teknik industri, Kedokteran, Gizi"
Universitas Muhammadiyah Surakarta (UMS),"Hukum, Bisnis digital, Ekonomi pembangunan, Pendidikan jasmani & olahraga, PGSD (Pendidikan Guru Sekolah Dasar), Ekonomi syariah, PAI (Pendidikan Agama Islam), Akuntansi, Manajemen, Farmasi, Geografi, Fisioterapi, Gizi, Kesehatan Masyarakat, Kedokteran, Pendidikan bahasa, Pendidikan biologi, Ilmu komunikasi, Sistem informasi, Psikologi, Arsitektur, Teknik industri, Teknik mesin, Teknik sipil"
Universitas Muhammadiyah Yogyakarta (UMY),"Kedokteran, Farmasi, Hubungan internasional, Ilmu komunikasi, Pendidikan bahasa, Agribisnis, Agroteknologi, Teknik sipil, Teknik mesin, Hukum, PAI (Pendidikan Agama Islam), Ekonomi syariah, Manajemen, Akuntansi"
Universitas Muhammadiyah Malang (UMM),"Sosiologi, Hukum, Ekonomi pembangunan, Hubungan internasional, PGSD (Pendidikan Guru Sekolah Dasar), Manajemen, Akuntansi, Ilmu komunikasi, Pendidikan biologi, Pendidikan bahasa, Psikologi, Agroteknologi, Agribisnis, Kehutanan, Peternakan, Teknik mesin, Teknik sipil, Teknik industri, PAI (Pendidikan Agama Islam), Ekonomi syariah, Farmasi, Fisioterapi, Kedokteran"
Universitas Islam Indonesia (UII),"Hukum, DKV (Desain Komunikasi Visual), Pendidikan jasmani & olahraga, Hubungan internasional, Administrasi perkantoran, PAI (Pendidikan Agama Islam), Akuntansi, Bisnis digital, Manajemen, Ekonomi pembangunan, Psikologi, Ilmu komunikasi, Pendidikan bahasa, Teknik mesin, Teknik sipil, Arsitektur, Teknik lingkungan, Statistika, Kedokteran"
Universitas PGRI Adi Buana (UNIPA) Surabaya,"Kepelatihan olahraga, BK (Bimbingan Konseling), PGSD (Pendidikan Guru Sekolah Dasar), Pendidikan jasmani & olahraga, Pendidikan bahasa, Biologi, Statistika, Akuntansi, Manajemen, Teknik industri, Teknik lingkungan, Perencanaan wilayah kota, Tata busana, Tata boga, Tata rias, Farmasi"
Telkom University,"Ilmu komunikasi, Bisnis digital, Pariwisata, DKV (Desain Komunikasi Visual), Hubungan internasional, Sistem informasi, Teknik industri, Sains data, Manajemen Informatika, Akuntansi, Psikologi, Broadcasting, Desain interior, Desain produk, Seni Kriya, Seni rupa murni"
BINUS,"Ilmu komunikasi, Bisnis digital, Desain grafis, DKV (Desain Komunikasi Visual), PGSD (Pendidikan Guru Sekolah Dasar), Akuntansi, Desain interior, Film dan Animasi, Kewirausahaan, Ilmu komputer, Sistem informasi, Teknologi Game, Teknik industri, Teknik sipil, Arsitektur, Pariwisata, Sastra, Hubungan internasional, Psikologi, Hukum, Branding"
Universitas Gunadarma,"Kedokteran, Sistem informasi, Farmasi, Teknik sipil, Desain interior, Arsitektur, Manajemen, Ekonomi syariah, Akuntansi, Psikologi, Teknik mesin, Teknik industri, Agroteknologi, Sastra, Pariwisata, Ilmu komunikasi, Perencanaan keuangan, Manajemen Informatika"
